2023-04-27 21:35:47,232 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:48,413 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:50,848 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:50,914 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:51,426 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:51,445 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:51,672 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:51,770 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:35:51.769590
2023-04-27 21:35:51,776 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:35:51,798 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213551-845genmb/run-845genmb.wandb
2023-04-27 21:35:51,799 DEBUG   SenderThread:7486 [sender.py:send():375] send: header
2023-04-27 21:35:51,818 DEBUG   SenderThread:7486 [sender.py:send():375] send: run
2023-04-27 21:35:52,245 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:52,424 INFO    SenderThread:7486 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213551-845genmb/files
2023-04-27 21:35:52,425 INFO    SenderThread:7486 [sender.py:_start_run_threads():1124] run started: 845genmb with start time 1682595351.77652
2023-04-27 21:35:53,430 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:55,861 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:55,928 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:56,439 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:56,464 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:56,677 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:57,258 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:57,442 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:35:58,443 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:00,876 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:00,940 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:01,458 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:01,485 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:01,698 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:02,270 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:02,452 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:03,463 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:05,890 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:05,951 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:06,476 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:06,495 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:06,706 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:07,285 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:07,464 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:08,482 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:10,900 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:10,964 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:11,495 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:36:11,508 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
